id;OEM;Артикул;Бренд;Группа;Деталь;Номенклатура;З/Н;Комментарий;Цена;Новинка;Уникльный ключ;Категория по бренду;Ранг по бренду;Категория по деталям;Ранг по деталям;Ранг;abc/xyz;Дата;Компания
520894;AMD.FC879A;46723331;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 46723331/AMD.FC879A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);FIAT (Doblo 119) (2005-) (с конд.);217,00;;520894AMD.FC879A;;0;;0;4547;CZ;01.08.2023;Москворечье
524999;AMD.FC941A;46799653;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 46799653/AMD.FC941A (антибактериальный, угольный) (2 шт) AMD;AMD / FCR 2018 (Склад);ALFA ROMEO (147 937) (2001-2010) (156 932) (2002-2005);476,00;;524999AMD.FC941A;;0;;0;4547;CZ;01.08.2023;Москворечье
525098;AMD.FC942A;4A1820367;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 4A1820367/AMD.FC942A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);AUDI (A6 4A2,C4) (1994-1997) (с конд.);306,00;;525098AMD.FC942A;;0;;0;4547;CZ;01.08.2023;Москворечье
520935;AMD.FC715A;4B0819439C;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 4B0819439C/AMD.FC715A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);AUDI (A4 8E_, B6) (2000-2004) (A4 8E_ , B7) (2004-2008) (A6 4B2,4B4,C5) (1997-2005) (с: 4B_X_045001);305,00;;520935AMD.FC715A;;0;;0;4547;CZ;01.08.2023;Москворечье
525291;AMD.FC721A;4E0819439A;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 4E0819439A/AMD.FC721A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);AUDI (A8 4E) (2002-2010);890,00;;525291AMD.FC721A;;0;;0;4547;CZ;01.08.2023;Москворечье
519467;AMD.FC789A;4F0898438C;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 4F0898438C/AMD.FC789A (антибактериальный, угольный) (2 шт) AMD;AMD / FCR 2018 (Склад);AUDI (A6 Allroad 4FH,C6) (2006-2011) (A6 Avant III 4F5,C6) (2005-2011) (A6/S6 III 4F2,C6) (2004-2011;429,00;;519467AMD.FC789A;;0;;0;4547;CZ;01.08.2023;Москворечье
520408;AMD.FC718A;4H0819439;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 4H0819439/AMD.FC718A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);AUDI (A6 Allroad IV 4GH,4GJ,C7) (2012-) (A6 Avant IV 4G5,4GD,C7) (2011-) (A6/S6 IV 4G2,4GC,C7) (2010;387,00;;520408AMD.FC718A;BY;1114;AX;62;1114;AX;01.08.2023;Москворечье
520403;AMD.FC864A;4M0819439B;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 4M0819439B/AMD.FC864A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);AUDI (A4 V 8W2,8WC,B9) (2015-) (A6/S6 V 4A2,C8) (2018-) (Q5 II FYB) (2016-) (Q7 II 4MB,4MG) (2015-);347,00;Новинка;520403AMD.FC864A;;0;;0;4547;CZ;01.08.2023;Москворечье
525026;AMD.FC956A;500086309;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 500086309/AMD.FC956A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);IVECO (DAILY VI) (2014-);285,00;;525026AMD.FC956A;;0;;0;4547;CZ;01.08.2023;Москворечье
520846;AMD.FC871A;5256078;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 5256078/AMD.FC871A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);FORD (Mondeo V CE) (2014-);397,00;;520846AMD.FC871A;CZ;1448;CZ;92;1448;CZ;01.08.2023;Москворечье
